#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   9.9999999987433010E+04  1.0000000000000000E-02  5.5553590823519833E-04  2.7874081423426655E-01 -2.8926528765023179E-01  5.7644398466504009E-04 -1.3888397704954541E-03 -6.9685203558683517E-01  7.2316317236646743E-01 -1.4410624653090533E-03
          1000   1.0000999998742777E+05  1.0000000000000000E-02  2.2686574014662844E-01 -1.6195132008628543E-01  1.6806689588762347E-01  2.3543263520237850E-01 -5.6716435036727086E-01  4.0487830021608479E-01 -4.2016724355242013E-01 -5.8858162104948375E-01
          2000   1.0001999998742253E+05  1.0000000000000000E-02 -2.6343788992635631E-01 -9.1084532285119924E-02  9.4524523745571881E-02 -2.7338676293417791E-01  6.5859472481690873E-01  2.2771133071292426E-01 -2.3631140301247142E-01  6.8346688793428734E-01
          3000   1.0002999998741729E+05  1.0000000000000000E-02  7.8372843591781052E-02  2.6749443331813760E-01 -2.7759744086314725E-01  8.1332857644120793E-02 -1.9593210897963109E-01 -6.6873608329647760E-01  6.9399357205478618E-01 -2.0333209707356892E-01
          4000   1.0003999998741205E+05  1.0000000000000000E-02  1.7263879189924336E-01 -2.1884003281031514E-01  2.2710642523650440E-01  1.7916003370285702E-01 -4.3159697974861588E-01  5.4710008202635807E-01 -5.6776607507392929E-01 -4.4790012625882225E-01
          5000   1.0004999998740682E+05  1.0000000000000000E-02 -2.7838800226250665E-01 -1.3959634750295829E-02  1.4487122339799282E-02 -2.8890474803452942E-01  6.9597000565733746E-01  3.4899086875591186E-02 -3.6217900221963792E-02  7.2226186706118811E-01
          6000   1.0005999998740158E+05  1.0000000000000000E-02  1.4987027569672554E-01  2.3501765146127854E-01 -2.4389682584051239E-01  1.5553246423128145E-01 -3.7467568924224132E-01 -5.8754412865420880E-01  6.0974204859394354E-01 -3.8883111653982522E-01
          7000   1.0006999998739634E+05  1.0000000000000000E-02  1.0477892509798215E-01 -2.5829306995231560E-01  2.6805280887502581E-01  1.0873810080476369E-01 -2.6194731274522182E-01  6.4573267488150377E-01 -6.7013204688368633E-01 -2.7184529838601634E-01
          8000   1.0007999998739110E+05  1.0000000000000000E-02 -2.7124686636904904E-01  6.4177302026259764E-02 -6.6602368814796489E-02 -2.8149702849236552E-01  6.7811716592367033E-01 -1.6044325506606508E-01  1.6650582791288604E-01  7.0374258503239151E-01
          9000   1.0008999998738586E+05  1.0000000000000000E-02  2.0940668348095817E-01  1.8396210498659496E-01 -1.9091453680040066E-01  2.1732070053709926E-01 -5.2351670870302980E-01 -4.5990526246732055E-01  4.7728633581453445E-01 -5.4330171455603804E-01
         10000   1.0009999998738062E+05  1.0000000000000000E-02  2.8708538092256961E-02 -2.7725182833335243E-01  2.8773121615324687E-01  2.9793706856903857E-02 -7.1771345230646322E-02  6.9312957083416049E-01 -7.1932808104620549E-01 -7.4484314613717642E-02
         11000   1.0010999998737538E+05  1.0000000000000000E-02 -2.4266117471127568E-01  1.3714218843619061E-01 -1.4232613358602175E-01 -2.5183396691256882E-01  6.0665293677913190E-01 -3.4285547109114622E-01  3.5581524219388633E-01  6.2958494578843782E-01
         12000   1.0011999998737015E+05  1.0000000000000000E-02  2.5232119276079806E-01  1.1843161639823777E-01 -1.2290887770247337E-01  2.6186006801118317E-01 -6.3080298190278294E-01 -2.9607904099619797E-01  3.0727219323274230E-01 -6.5465014512918263E-01
