#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   2.0000000003534957E+05  1.0000000000000000E-02  1.9875743703672291E-01 -1.8520213220917484E-01  1.9974799508282148E-01  2.1436798346194427E-01 -4.9689359259228344E-01  4.6300533052364484E-01 -4.9936999402243715E-01 -5.3591999593281581E-01
          1000   2.0001000003535888E+05  1.0000000000000000E-02 -2.2258935195018950E-01 -1.5574962534359826E-01  1.6798304511282269E-01 -2.4007251298412485E-01  5.5647337987647028E-01  3.8937406335960123E-01 -4.1995770116885633E-01  6.0018125021657154E-01
          2000   2.0002000003536820E+05  1.0000000000000000E-02 -1.0589978101959265E-01  2.5017767552139369E-01 -2.6982866732056798E-01 -1.1421811582487783E-01  2.6474945254956800E-01 -6.2544418880429875E-01  6.7457159993359317E-01  2.8554533521581338E-01
          3000   2.0003000003537751E+05  1.0000000000000000E-02  2.6675994607442144E-01  5.1403790716334365E-02 -5.5441719631936226E-02  2.8771471046455266E-01 -6.6689986518677125E-01 -1.2850947679095293E-01  1.3860430013222538E-01 -7.1928676493203514E-01
          4000   2.0004000003538682E+05  1.0000000000000000E-02 -5.3406538600221948E-03 -2.7161418347556332E-01  2.9295157823785339E-01 -5.7601314548763397E-03  1.3351634650290696E-02  6.7903545868992143E-01 -7.3237899246928562E-01  1.4400281750599229E-02
          5000   2.0005000003539614E+05  1.0000000000000000E-02 -2.6453430928813715E-01  6.1838854591790920E-02 -6.6696874049310073E-02 -2.8531651886805370E-01  6.6133577322148041E-01 -1.5459713647962900E-01  1.6674209277347596E-01  7.1329131064415596E-01
          6000   2.0006000003540545E+05  1.0000000000000000E-02  1.1560945742678735E-01  2.4583843361645272E-01 -2.6515282281500863E-01  1.2469230621964768E-01 -2.8902364356715948E-01 -6.1459608404192978E-01  6.6288203595540163E-01 -3.1173072028539728E-01
          7000   2.0007000003541476E+05  1.0000000000000000E-02  2.1635416579695688E-01 -1.6429398741770176E-01  1.7720259118370188E-01  2.3335318812086628E-01 -5.4088541449293759E-01  4.1073496854488883E-01 -4.4300648178109564E-01 -5.8338300406495114E-01
          8000   2.0008000003542408E+05  1.0000000000000000E-02 -2.0575933534998386E-01 -1.7738192235363093E-01  1.9131971563900618E-01 -2.2192670341738396E-01  5.1439833837589133E-01  4.4345480588475794E-01 -4.7829937521096150E-01  5.5481672254653802E-01
          9000   2.0009000003543339E+05  1.0000000000000000E-02 -1.3063724175693292E-01  2.3819074386251365E-01 -2.5690725641565942E-01 -1.4090254883388717E-01  3.2659310439300177E-01 -5.9547685965705821E-01  6.4226806778044876E-01  3.5225641658649570E-01
         10000   2.0010000003544270E+05  1.0000000000000000E-02  2.6017165701357353E-01  7.8174287330363565E-02 -8.4317437678175969E-02  2.8061661107495928E-01 -6.5042914253462969E-01 -1.9543571832612269E-01  2.1079359489807697E-01 -7.0154151074725568E-01
