#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   0.0000000000000000E+00  1.0000000000000000E-02  2.8571428571399998E-01  0.0000000000000000E+00  0.0000000000000000E+00  2.8571428571399998E-01 -7.1428571428599996E-01  0.0000000000000000E+00  0.0000000000000000E+00 -7.1428571428599996E-01
          1000   9.9999999999999147E+00  1.0000000000000000E-02 -2.3973417502407740E-01 -1.5543520546116057E-01  1.5543535323827137E-01 -2.3973432232003369E-01  5.9933543756103114E-01  3.8858801365344542E-01 -3.8858838309622185E-01  5.9933580580092294E-01
          2000   2.0000000000000412E+01  1.0000000000000000E-02  1.1659155471567355E-01  2.6084274732516893E-01 -2.6084303926742641E-01  1.1659166990799061E-01 -2.9147888678959316E-01 -6.5210686831383557E-01  6.5210759816948460E-01 -2.9147917477038626E-01
          3000   3.0000000000001975E+01  1.0000000000000000E-02  4.4079678605334044E-02 -2.8229314111479881E-01  2.8229371358775140E-01  4.4079788514541078E-02 -1.1019919651348993E-01  7.0573285278798181E-01 -7.0573428397036442E-01 -1.1019947128651278E-01
          4000   4.0000000000000696E+01  1.0000000000000000E-02 -1.9056400673543081E-01  2.1287966209700354E-01 -2.1288014116087575E-01 -1.9056448871258364E-01  4.7641001683924350E-01 -5.3219915524325812E-01  5.3220035290293433E-01  4.7641122178211825E-01
          5000   4.9999999999998707E+01  1.0000000000000000E-02  2.7570985239561957E-01 -7.4942555482166537E-02  7.4942792132171462E-02  2.7571072633728139E-01 -6.8927463099001363E-01  1.8735638870567414E-01 -1.8735698033069056E-01 -6.8927681584417344E-01
          6000   5.9999999999996717E+01  1.0000000000000000E-02 -2.7210753920794745E-01 -8.7119044841519389E-02  8.7119420142804729E-02 -2.7210855883245394E-01  6.8026884802081899E-01  2.1779761210409998E-01 -2.1779855035731446E-01  6.8027139708207940E-01
          7000   6.9999999999990465E+01  1.0000000000000000E-02  1.8091398855650567E-01  2.2113868077086524E-01 -2.2113962519981814E-01  1.8091475004875851E-01 -4.5228497139189949E-01 -5.5284670192794239E-01  5.5284906300031988E-01 -4.5228687512253701E-01
          8000   7.9999999999981370E+01  1.0000000000000000E-02 -3.1482373583690243E-02 -2.8397351199427545E-01  2.8397498165850266E-01 -3.1482509782831278E-02  7.8705933959333896E-02  7.0993377998667462E-01 -7.0993745414725151E-01  7.8706274457178746E-02
          9000   8.9999999999972275E+01  1.0000000000000000E-02 -1.2808514256884704E-01  2.5539430160162685E-01 -2.5539568452195482E-01 -1.2808587456995940E-01  3.2021285642256453E-01 -6.3848575400497021E-01  6.3848921130578085E-01  3.2021468642533740E-01
         10000   9.9999999999963180E+01  1.0000000000000000E-02  2.4642097372844843E-01 -1.4459830414098238E-01  1.4459921725971145E-01  2.4642253645342455E-01 -6.1605243432198853E-01  3.6149576035295528E-01 -3.6149804314978784E-01 -6.1605634113443408E-01
         11000   1.0999999999995408E+02  1.0000000000000000E-02 -2.8542841350459858E-01 -1.2748529676763766E-02  1.2748664956181288E-02 -2.8543037546585781E-01  7.1357103376248776E-01  3.1871324191948554E-02 -3.1871662390500134E-02  7.1357593866563263E-01
