#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   3.0000000012848183E+05  1.0000000000000000E-02  2.0811116468557506E-01  1.6319917799793576E-01 -1.8325339410394639E-01  2.3368419599079054E-01 -5.2027791171437754E-01 -4.0799794499553826E-01  4.5813348169084905E-01 -5.8421045608783950E-01
          1000   3.0001000012849114E+05  1.0000000000000000E-02  2.0688522177909716E-01 -1.6474922735862113E-01  1.8499472667745792E-01  2.3230872966437974E-01 -5.1721305444817767E-01  4.1187306839700039E-01 -4.6248682043309858E-01 -5.8077185831851030E-01
          2000   3.0002000012850045E+05  1.0000000000000000E-02 -1.1245251142161228E-01 -2.3936967511892807E-01  2.6878626176521553E-01 -1.2627189975184996E-01  2.8113127855471437E-01  5.9842418779803097E-01 -6.7196572323120984E-01  3.1567970471920231E-01
          3000   3.0003000012850977E+05  1.0000000000000000E-02 -2.5888534308900035E-01  5.4050340889117358E-02 -6.0692772508705459E-02 -2.9070128939539369E-01  6.4721335772370070E-01 -1.3512585222311094E-01  1.5173184063101844E-01  7.2675323544567527E-01
          4000   3.0004000012851908E+05  1.0000000000000000E-02 -7.2940762468535879E-03  2.6436621960142859E-01 -2.9685683727216311E-01 -8.1905947308016317E-03  1.8235190617452157E-02 -6.6091554900462657E-01  7.4214204700959918E-01  2.0476533091767397E-02
          5000   3.0005000012852839E+05  1.0000000000000000E-02  2.5550660719944618E-01  6.8254423898971364E-02 -7.6643255547983083E-02  2.8690964828762133E-01 -6.3876651799921436E-01 -1.7063605974780005E-01  1.9160814024139572E-01 -7.1727410568633565E-01
          6000   3.0006000012853771E+05  1.0000000000000000E-02  1.2552196714205138E-01 -2.3277909355697252E-01  2.6138999578737387E-01  1.4094994134065089E-01 -3.1380491785527231E-01  5.8194773389311460E-01 -6.5347500714763440E-01 -3.5237489735173555E-01
          7000   3.0007000012854702E+05  1.0000000000000000E-02 -1.9740962074933621E-01 -1.7598560814828382E-01  1.9761692245195869E-01 -2.2167409312824865E-01  4.9352405187432641E-01  4.3996402037119003E-01 -4.9404239012643153E-01  5.5418519675068445E-01
          8000   3.0008000012855633E+05  1.0000000000000000E-02 -2.1690076976806180E-01  1.5131161266043194E-01 -1.6991055127686669E-01 -2.4356201993447069E-01  5.4225192442120795E-01 -3.7827903165174764E-01  4.2477629150242774E-01  6.0890508159888701E-01
          9000   3.0009000012856565E+05  1.0000000000000000E-02  9.6983332054925320E-02  2.4603863135473822E-01 -2.7628252034295681E-01  1.0890478739141711E-01 -2.4245833013735699E-01 -6.1509657838784548E-01  6.9070627741803114E-01 -2.7226192322456327E-01
         10000   3.0010000012857496E+05  1.0000000000000000E-02  2.6180832112868574E-01 -3.7373225898095878E-02  4.1967438032578179E-02  2.9399200061721675E-01 -6.5452080282233227E-01  9.3433064745230693E-02 -1.0491859342140088E-01 -7.3498000983833145E-01
