#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   0.0000000000000000E+00  1.0000000000000000E-02  2.8571428571399998E-01  0.0000000000000000E+00  0.0000000000000000E+00  2.8571428571399998E-01 -7.1428571428599996E-01  0.0000000000000000E+00  0.0000000000000000E+00 -7.1428571428599996E-01
          1000   9.9999999999999147E+00  1.0000000000000000E-02 -2.3972872945082263E-01 -1.5544138914354971E-01  1.5544271358216383E-01 -2.3973030511514942E-01  5.9932182362789721E-01  3.8860347285941366E-01 -3.8860678395595349E-01  5.9932576278871463E-01
          2000   2.0000000000000412E+01  1.0000000000000000E-02  1.1655948618835463E-01  2.6085468972801540E-01 -2.6085794904106585E-01  1.1656085315826459E-01 -2.9139871547129270E-01 -6.5213672432095371E-01  6.5214487260357856E-01 -2.9140213289606814E-01
          3000   3.0000000000001975E+01  1.0000000000000000E-02  4.4155158652245917E-02 -2.8227776014064071E-01  2.8228362182926159E-01  4.4156193875110321E-02 -1.1038789663077175E-01  7.0569440035258701E-01 -7.0570905457414035E-01 -1.1039048468792689E-01
          4000   4.0000000000000696E+01  1.0000000000000000E-02 -1.9066289064352443E-01  2.1278507878162664E-01 -2.1279041061098569E-01 -1.9066797717265901E-01  4.7665722660947663E-01 -5.3196269695481613E-01  5.3197602652820908E-01  4.7666994293231929E-01
          5000   4.9999999999998707E+01  1.0000000000000000E-02  2.7576043645639170E-01 -7.4734253836733974E-02  7.4736743702764355E-02  2.7576964228590056E-01 -6.8940109114194625E-01  1.8683563459209188E-01 -1.8684185925716926E-01 -6.8942410571571033E-01
          6000   5.9999999999996717E+01  1.0000000000000000E-02 -2.7200686502634502E-01 -8.7410342471918465E-02  8.7414099524595987E-02 -2.7201767512652009E-01  6.8001716256681266E-01  2.1852585618009618E-01 -2.1853524881179351E-01  6.8004418781725862E-01
          7000   6.9999999999990465E+01  1.0000000000000000E-02  1.8058377669677728E-01  2.2139820749783801E-01 -2.2140834136524981E-01  1.8059197696827203E-01 -4.5145944174257591E-01 -5.5349551874537317E-01  5.5352085341390034E-01 -4.5147994242130596E-01
          8000   7.9999999999981370E+01  1.0000000000000000E-02 -3.0936322037927635E-02 -2.8402420685880064E-01  2.8403955003952669E-01 -3.0937839147529247E-02  7.7340805094929174E-02  7.1006051714799401E-01 -7.1009887509981007E-01  7.7344597868937728E-02
          9000   8.9999999999972275E+01  1.0000000000000000E-02 -1.2870050657202770E-01  2.5507334938598059E-01 -2.5508824819976128E-01 -1.2870824817631354E-01  3.2175126643051971E-01 -6.3768337346584802E-01  6.3772062050029787E-01  3.2177062044124116E-01
         10000   9.9999999999963180E+01  1.0000000000000000E-02  2.4684373375851668E-01 -1.4385261115929185E-01  1.4386219561307953E-01  2.4686021763540997E-01 -6.1710933439715876E-01  3.5963152789872727E-01 -3.5965548903320088E-01 -6.1715054408938264E-01
         11000   1.0999999999995408E+02  1.0000000000000000E-02 -2.8536771394711358E-01 -1.3783522463418530E-02  1.3784803325880852E-02 -2.8538851076331012E-01  7.1341928486877959E-01  3.4458806158584654E-02 -3.4462008314751234E-02  7.1347127690928169E-01
         12000   1.1999999999994499E+02  1.0000000000000000E-02  2.3181698808351897E-01  1.6698781521338896E-01 -1.6700101825827643E-01  2.3183527248127447E-01 -5.7954247020961369E-01 -4.1746953803406645E-01  4.1750254564627792E-01 -5.7958818120399169E-01
         13000   1.2999999999993591E+02  1.0000000000000000E-02 -1.0344538960112652E-01 -2.6631233008968314E-01  2.6633557555507675E-01 -1.0345421705865791E-01  2.5861347400317275E-01  6.6578082522513005E-01 -6.6583893888862444E-01  2.5863554264701033E-01
         14000   1.3999999999992681E+02  1.0000000000000000E-02 -5.8331464983906629E-02  2.7967852208829869E-01 -2.7970416520333297E-01 -5.8336983000431900E-02  1.4582866245996487E-01 -6.9919630522173548E-01  6.9926041300930830E-01  1.4584245750128885E-01
         15000   1.4999999999991772E+02  1.0000000000000000E-02  2.0128928243487965E-01 -2.0274221557699124E-01  2.0276247482974638E-01  2.0130945413433693E-01 -5.0322320608790938E-01  5.0685553894317714E-01 -5.0690618707507618E-01 -5.0327363533653779E-01
         16000   1.5999999999990862E+02  1.0000000000000000E-02 -2.7925304011872165E-01  6.0323068070330305E-02 -6.0329183512595926E-02 -2.7928264344700426E-01  6.9813260029777779E-01 -1.5080767017604682E-01  1.5082295878170066E-01  6.9820660861849915E-01
         17000   1.6999999999989953E+02  1.0000000000000000E-02  2.6701804285064334E-01  1.0159620060728847E-01 -1.0160761731492729E-01  2.6704802331351074E-01 -6.6754510712754533E-01 -2.5399050151858527E-01  2.5401904328766883E-01 -6.6762005828469972E-01
         18000   1.7999999999989043E+02  1.0000000000000000E-02 -1.6850887822686539E-01 -2.3070407123541159E-01  2.3073189447284101E-01 -1.6852892862352215E-01  4.2127219556775097E-01  5.7676017808932811E-01 -5.7682973618291233E-01  4.2132232155940691E-01
         19000   1.8999999999988134E+02  1.0000000000000000E-02  1.5533232637623877E-02  2.8526785769817570E-01 -2.8530350064058552E-01  1.5535042801874281E-02 -3.8833081594119148E-02 -7.1316964424644547E-01  7.1325875160246011E-01 -3.8837607004731323E-02
         20000   1.9999999999987224E+02  1.0000000000000000E-02  1.4247764249844128E-01 -2.4762529180652229E-01  2.4765827819025032E-01  1.4249670207699616E-01 -3.5619410624660663E-01  6.1906322951716564E-01 -6.1914569547649012E-01 -3.5624175519298001E-01
         21000   2.0999999999986315E+02  1.0000000000000000E-02 -2.5443788211457408E-01  1.2991886416467907E-01 -1.2993665117476424E-01 -2.5447329082545012E-01  6.3609470528731882E-01 -3.2479716041215562E-01  3.2484162793736715E-01  6.3618322706452379E-01
