#------it------------------t-----------------------dt---------------------xq1---------------------yq1---------------------vxq1--------------------vyq1--------------------xq2---------------------yq2---------------------vxq2--------------------vyq2----------
             0   9.9999999987433010E+04  1.0000000000000000E-02 -2.7170096585830567E-01 -2.8608133037006409E-02  3.0595905047386726E-02 -2.9057688102336243E-01  6.7925241464693675E-01  7.1520332592552777E-02 -7.6489762618528676E-02  7.2644220255974989E-01
          1000   1.0000999998742777E+05  1.0000000000000000E-02  5.3178376765358429E-02  2.6797629955993341E-01 -2.8659516570814181E-01  5.6873070393920762E-02 -1.3294594191336084E-01 -6.6994074890083311E-01  7.1648791427140546E-01 -1.4218267598467341E-01
          2000   1.0001999998742253E+05  1.0000000000000000E-02  2.4019564580700734E-01 -1.3017107594633864E-01  1.3921641027493811E-01  2.5688641445769139E-01 -6.0048911451813947E-01  3.2542768986624282E-01 -3.4804102568778694E-01 -6.4221603614480194E-01
          3000   1.0002999998741729E+05  1.0000000000000000E-02 -1.9546537554948243E-01 -1.9086919710956632E-01  2.0413395374681284E-01 -2.0904921271162663E-01  4.8866343887461627E-01  4.7717299277452524E-01 -5.1033488436769914E-01  5.2262303178012570E-01
          4000   1.0003999998741205E+05  1.0000000000000000E-02 -1.2443698354956292E-01  2.4321314167120797E-01 -2.6011670600791287E-01 -1.3308570791777058E-01  3.1109245887457310E-01 -6.0803285417893216E-01  6.5029176502074426E-01  3.3271426979521801E-01
          5000   1.0004999998740682E+05  1.0000000000000000E-02  2.6914682271068224E-01  4.6866348218226342E-02 -5.0124005885541743E-02  2.8785505997287669E-01 -6.7286705677741832E-01 -1.1716587054578760E-01  1.2531001471407813E-01 -7.1963764993287360E-01
          6000   1.0005999998740158E+05  1.0000000000000000E-02 -3.4885056503206828E-02 -2.7095892766876978E-01  2.8979543307062433E-01 -3.7310035858074027E-02  8.7212641258365656E-02  6.7739731917281232E-01 -7.2448858267752603E-01  9.3275089645641310E-02
          7000   1.0006999998739634E+05  1.0000000000000000E-02 -2.4850479377288170E-01  1.1349226531137217E-01 -1.2138243496087035E-01 -2.6578188924183221E-01  6.2126198443330216E-01 -2.8373066327888902E-01  3.0345608740264957E-01  6.6445472310583764E-01
          8000   1.0007999998739110E+05  1.0000000000000000E-02  1.8192075776434929E-01  2.0381194544772585E-01 -2.1798316897309769E-01  1.9456980263892376E-01 -4.5480189441127994E-01 -5.0952986362009189E-01  5.4495792243355323E-01 -4.8642450659766617E-01
          9000   1.0008999998738586E+05  1.0000000000000000E-02  1.4089470747839364E-01 -2.3405632441202384E-01  2.5033247291558902E-01  1.5069252887946641E-01 -3.5223676869624793E-01  5.8514081103081328E-01 -6.2583118228980317E-01 -3.7673132219886762E-01
         10000   1.0009999998738062E+05  1.0000000000000000E-02 -2.6524857281686143E-01 -6.5392970797520086E-02  6.9941071795164012E-02 -2.8369555995067247E-01  6.6312143204330731E-01  1.6348242699396148E-01 -1.7485267948810887E-01  7.0923889987799982E-01
         11000   1.0010999998737538E+05  1.0000000000000000E-02  1.5934800834212011E-02  2.7272428471529470E-01 -2.9169290572395734E-01  1.7042972741149090E-02 -3.9837002085357107E-02 -6.8181071178925878E-01  7.2923226431096211E-01 -4.2607431852605029E-02
         12000   1.0011999998737015E+05  1.0000000000000000E-02  2.5583273280396096E-01 -9.5819069761233916E-02  1.0248432675392870E-01  2.7362871206421058E-01 -6.3958183201057106E-01  2.3954767440334931E-01 -2.5621081688513347E-01 -6.8407178016116044E-01
         13000   1.0012999998736491E+05  1.0000000000000000E-02 -1.6712791791216103E-01 -2.1610004960100823E-01  2.3113398653364856E-01 -1.7875461528842676E-01  4.1781979478121400E-01  5.4025012400320538E-01 -5.7783496633488396E-01  4.4688653822201468E-01
