 it --- t (Myr) --- dt(Myr) --- a(km) --- e --- h --- i --- hconst --- Pbin (yr) --- Spin1(hr) --- Spin2(hr) 
        1000   5.5113680091522649E-006   5.5113634574367141E-009   4299.4681976275542       0.40000415803302469        6120474649.8076944       -8.7155914327413431E-002  -7.9879556769621246E-002   5.5113634483241789        14.999999999999991        14.999999999999986     
        2000   1.1022726905768670E-005   5.5113543449136475E-009   4299.4634584477153       0.40001663195766163        6120434920.0189133       -8.7156429076275313E-002  -7.9879554043689918E-002   5.5113543358011370        14.999999999999870        14.999999999999783     
        3000   1.6534076689877089E-005   5.5113452324206854E-009   4299.4587192809258       0.40003742133289139        6120370951.0289421       -8.7157287026451077E-002  -7.9879549500308761E-002   5.5113452233082096        14.999999999999346        14.999999999998900     
        4000   2.2045417361507635E-005   5.5113361199579054E-009   4299.4539801272176       0.40006652547860716        6120282740.3615618       -8.7158488233899364E-002  -7.9879543139236148E-002   5.5113361108454573        14.999999999997936        14.999999999998266     
        5000   2.7556748920690456E-005   5.5113270075251637E-009   4299.4492409865197       0.40010394347576983        6120170284.4380951       -8.7160032778334562E-002  -7.9879534960133280E-002   5.5113269984127449        14.999999999998263        14.999999999998723     
        6000   3.3068071367455601E-005   5.5113178951225214E-009   4299.4445018588649       0.40014967416659697        6120033578.5775900       -8.7161920763238407E-002  -7.9879524962568060E-002   5.5113178860101337        14.999999999998447        14.999999999998696     
        7000   3.8579384701833124E-005   5.5113087827500910E-009   4299.4397627443113       0.40020371615481481        6119872616.9967756       -8.7164152315864843E-002  -7.9879513146010189E-002   5.5113087736377357        14.999999999998284        14.999999999998550     
        8000   4.4090688923853410E-005   5.5112996704077890E-009   4299.4350236428127       0.40026606780597518        6119687392.8099413       -8.7166727587255272E-002  -7.9879499509833238E-002   5.5112996612954612        14.999999999998426        14.999999999998730     
        9000   4.9601984033546435E-005   5.5112905580956717E-009   4299.4302845544044       0.40033672724779634        6119477898.0291176       -8.7169646752253471E-002  -7.9879484053315242E-002   5.5112905489833768        14.999999999998224        14.999999999998636     
       10000   5.5113270030942436E-005   5.5112814458136878E-009   4299.4255454790500       0.40041569237059083        6119244123.5639172       -8.7172910009522458E-002  -7.9879466775637439E-002   5.5112814367014176        14.999999999998375        14.999999999998748     
       11000   6.0624546916071548E-005   5.5112723335617603E-009   4299.4208064167187       0.40050296082772174        6118986059.2215986       -8.7176517581564084E-002  -7.9879447675884521E-002   5.5112723244495196        14.999999999998451        14.999999999998748     
       12000   6.6135814688963863E-005   5.5112632213400149E-009   4299.4160673674742       0.40059853003612977        6118703693.7070827       -8.7180469714741929E-002  -7.9879426753044630E-002   5.5112632122278074        14.999999999998419        14.999999999998725     
       13000   7.1647073349649678E-005   5.5112541091483988E-009   4299.4113283312872       0.40070239717689682        6118397014.6228161       -8.7184766679305151E-002  -7.9879404006008778E-002   5.5112541000362238        14.999999999998410        14.999999999998796     
       14000   7.7158322898158619E-005   5.5112449969868863E-009   4299.4065893081406       0.40081455919586567        6118066008.4688101       -8.7189408769415860E-002  -7.9879379433571082E-002   5.5112449878747380        14.999999999998437        14.999999999998765     
       15000   8.2669563334521206E-005   5.5112358848555204E-009   4299.4018502980653       0.40093501280432309        6117710660.6426096       -8.7194396303179364E-002  -7.9879353034428766E-002   5.5112358757434050        14.999999999998426        14.999999999998822     
       16000   8.8180794658767526E-005   5.5112267727542886E-009   4299.3971113010475       0.40106375447971798        6117330955.4391909       -8.7199729622674443E-002  -7.9879324807180727E-002   5.5112267636422008        14.999999999998431        14.999999999998835     
       17000   9.3692016870927598E-005   5.5112176606832324E-009   4299.3923723171119       0.40120078046643332        6116926876.0509834       -8.7205409093989494E-002  -7.9879294750328941E-002   5.5112176515711750        14.999999999998437        14.999999999998847     
       18000   9.9203229971031834E-005   5.5112085486422839E-009   4299.3876333462240       0.40134608677661554        6116498404.5677290       -8.7211435107258165E-002  -7.9879262862276854E-002   5.5112085395302568        14.999999999998472        14.999999999998865     
       19000   1.0471443395911012E-004   5.5111994366313960E-009   4299.3828943883582       0.40149966919104757        6116045521.9764643       -8.7217808076699599E-002  -7.9879229141330013E-002   5.5111994275193990        14.999999999998446        14.999999999998856     
       20000   1.1022562883519273E-004   5.5111903246506936E-009   4299.3781554435800       0.40166152326006660        6115568208.1615248       -8.7224528440659463E-002  -7.9879193585695035E-002   5.5111903155387285        14.999999999998444        14.999999999998876     
       21000   1.1573681459930964E-004   5.5111812127001196E-009   4299.3734165118567       0.40183164430453872        6115066441.9043274       -8.7231596661654476E-002  -7.9879156193479531E-002   5.5111812035881824        14.999999999998456        14.999999999998897     
       22000   1.2124799125149092E-004   5.5111721007796673E-009   4299.3686775931874       0.40201002741686576        6114540200.8834057       -8.7239013226420747E-002  -7.9879116962693342E-002   5.5111720916677580        14.999999999998435        14.999999999998918     
       23000   1.2675915879176706E-004   5.5111629888893724E-009   4299.3639386875948       0.40219666746205790        6113989461.6742954       -8.7246778645960324E-002  -7.9879075891245432E-002   5.5111629797774997        14.999999999998437        14.999999999998934     
       24000   1.3227031722016789E-004   5.5111538770291960E-009   4299.3591997950516       0.40239155907883434        6113414199.7494173       -8.7254893455594451E-002  -7.9879032976945041E-002   5.5111538679173533        14.999999999998462        14.999999999998940     
       25000   1.3778146653672360E-004   5.5111447651991091E-009   4299.3544609155451       0.40259469668078102        6112814389.4780111       -8.7263358215018225E-002  -7.9878988217501445E-002   5.5111447560872930        14.999999999998469        14.999999999998948     
