# it, index, xp, yp, vx, vy, rhopswarm, aps
1.011380000000000057e-01,1.000000000000000000e+00,9.999980000000000535e-01,1.984942999999999902e+00,-3.399999999999999973e-05,-5.000099999999999684e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.022750000000000103e-01,1.000000000000000000e+00,9.999930000000000208e-01,1.979886000000000035e+00,-6.799999999999999946e-05,-5.000299999999999884e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.034129999999999883e-01,1.000000000000000000e+00,9.999839999999999840e-01,1.974828999999999946e+00,-1.019999999999999992e-04,-5.000500000000000084e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.045509999999999939e-01,1.000000000000000000e+00,9.999719999999999720e-01,1.969770999999999939e+00,-1.369999999999999961e-04,-5.000799999999999690e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.006310000000000482e-01,1.000000000000000000e+00,9.999580000000000135e-01,1.964965999999999990e+00,-1.689999999999999879e-04,-5.000999999999999890e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.017689999999999984e-01,1.000000000000000000e+00,9.999390000000000223e-01,1.959907999999999983e+00,-2.030000000000000012e-04,-5.001400000000000290e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.029069999999999485e-01,1.000000000000000000e+00,9.999169999999999447e-01,1.954849999999999977e+00,-2.380000000000000117e-04,-5.001799999999999996e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.040439999999999809e-01,1.000000000000000000e+00,9.998909999999999743e-01,1.949791000000000052e+00,-2.719999999999999979e-04,-5.002299999999999802e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.001249999999999529e-01,1.000000000000000000e+00,9.998629999999999463e-01,1.944984000000000046e+00,-3.040000000000000167e-04,-5.002700000000000202e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.001263000000000014e+00,1.000000000000000000e+00,9.998310000000000253e-01,1.939923999999999982e+00,-3.390000000000000001e-04,-5.003300000000000108e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.102400000000000047e+00,1.000000000000000000e+00,9.997949999999999893e-01,1.934863999999999917e+00,-3.730000000000000134e-04,-5.003900000000000015e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.203537999999999997e+00,1.000000000000000000e+00,9.997549999999999493e-01,1.929802999999999935e+00,-4.070000000000000267e-04,-5.004499999999999921e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.304675999999999947e+00,1.000000000000000000e+00,9.997120000000000450e-01,1.924741000000000035e+00,-4.420000000000000101e-04,-5.005199999999999927e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.400757000000000030e+00,1.000000000000000000e+00,9.996680000000000010e-01,1.919931999999999972e+00,-4.739999999999999747e-04,-5.005899999999999933e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.501894000000000062e+00,1.000000000000000000e+00,9.996190000000000353e-01,1.914868999999999932e+00,-5.090000000000000123e-04,-5.006599999999999939e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.603032000000000012e+00,1.000000000000000000e+00,9.995650000000000368e-01,1.909804000000000057e+00,-5.429999999999999714e-04,-5.007500000000000145e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.704169000000000045e+00,1.000000000000000000e+00,9.995089999999999808e-01,1.904740000000000100e+00,-5.779999999999999548e-04,-5.008300000000000252e-02,0.000000000000000000e+00,0.000000000000000000e+00
